Timestamp,DayInWeek,DayType,DurationSeconds_Source1,DistanceMeters_Source1,SpeedKmPerHour_Source1,SegmentCode,index,name,updateTime,id,Length_Source2,Time_Source2,HistoricTime_Source2,SpeedKmPerHour_Source2,HistoricSpeedKmPerHour_Source2
2024-02-13 00:30:00,יום ג,יום חול,64,356,20.02499962,2,17085,2_MENDES--BENGURION2KATZIR-R,2024-02-13 00:30:00,1694270107281.0,360.0,68.13333333333334,68.13333333333334,19.02152641878669,19.02152641878669
2024-02-13 01:00:00,יום ג,יום חול,59,356,21.72203445,2,17087,2_MENDES--BENGURION2KATZIR-R,2024-02-13 01:00:00,1694270107281.0,360.0,73.07142857142857,73.07142857142857,17.736070381231674,17.736070381231674
2024-02-13 01:00:00,יום ג,יום חול,77,293,13.6987009,3,17985,3_GABRIELA--HOSPITAL2SHIBA-R,2024-02-13 01:00:00,1694271894837.0,297.0,55.0,55.0,19.44,19.44
2024-02-13 00:30:00,יום ג,יום חול,85,293,12.40941143,3,17983,3_GABRIELA--HOSPITAL2SHIBA-R,2024-02-13 00:30:00,1694271894837.0,297.0,54.53333333333333,54.53333333333333,19.60635696821516,19.60635696821516
2024-02-13 00:45:00,יום ג,יום חול,79,293,13.35189915,3,17984,3_GABRIELA--HOSPITAL2SHIBA-R,2024-02-13 00:45:00,1694271894837.0,297.0,55.0,55.0,19.44,19.44
2024-02-13 00:45:00,יום ג,יום חול,85,294,12.45176506,4,18882,4_GABRIELA--HOSPITAL2SHIBA-L,2024-02-13 00:45:00,1694271931703.0,268.0,65.8,65.8,14.662613981762918,14.662613981762918
2024-02-13 00:30:00,יום ג,יום חול,87,294,12.16551685,4,18881,4_GABRIELA--HOSPITAL2SHIBA-L,2024-02-13 00:30:00,1694271931703.0,268.0,66.0,66.0,14.61818181818182,14.61818181818182
2024-02-13 01:00:00,יום ג,יום חול,89,294,11.89213467,4,18883,4_GABRIELA--HOSPITAL2SHIBA-L,2024-02-13 01:00:00,1694271931703.0,268.0,64.57142857142857,64.57142857142857,14.941592920353983,14.941592920353983
2024-02-13 01:00:00,יום ג,יום חול,60,404,24.23999977,5,19781,5_MENDES--BENGURION2KATZIR-T,2024-02-13 01:00:00,1694270789096.0,412.0,64.14285714285714,64.14285714285714,23.123385300668154,23.123385300668154
2024-02-13 00:30:00,יום ג,יום חול,66,404,22.0363636,5,19779,5_MENDES--BENGURION2KATZIR-T,2024-02-13 00:30:00,1694270789096.0,412.0,59.73333333333333,59.73333333333333,24.830357142857142,24.830357142857142
2024-02-13 00:45:00,יום ג,יום חול,59,404,24.65084839,5,19780,5_MENDES--BENGURION2KATZIR-T,2024-02-13 00:45:00,1694270789096.0,412.0,61.2,61.2,24.235294117647054,24.235294117647054
2024-02-13 00:45:00,יום ג,יום חול,53,384,26.08301926,6,20678,6_SHIBA--HAARAZIM2GABRIELA-R,2024-02-13 00:45:00,1694271979962.0,375.0,42.266666666666666,42.266666666666666,31.94006309148265,31.94006309148265
2024-02-13 00:30:00,יום ג,יום חול,48,384,28.79999924,6,20677,6_SHIBA--HAARAZIM2GABRIELA-R,2024-02-13 00:30:00,1694271979962.0,375.0,43.266666666666666,43.266666666666666,31.201848998459173,31.201848998459173
2024-02-13 00:45:00,יום ג,יום חול,45,175,14.0,7,21576,7_KATZIR--MENDES2EMEKHAELA-L,2024-02-13 00:45:00,1694271505525.0,185.0,50.2,50.2,13.266932270916334,13.266932270916334
2024-02-13 00:30:00,יום ג,יום חול,46,175,13.69565201,7,21575,7_KATZIR--MENDES2EMEKHAELA-L,2024-02-13 00:30:00,1694271505525.0,185.0,49.266666666666666,49.266666666666666,13.51826792963464,13.51826792963464
2024-02-13 01:00:00,יום ג,יום חול,45,175,14.0,7,21577,7_KATZIR--MENDES2EMEKHAELA-L,2024-02-13 01:00:00,1694271505525.0,185.0,48.07142857142857,48.07142857142857,13.854383358098069,13.854383358098069
2024-02-13 00:30:00,יום ג,יום חול,22,234,38.29090881,8,22473,8_BENGURION--SHLOMO2MENDES-T,2024-02-13 00:30:00,1694269356171.0,238.0,15.666666666666666,15.0,54.68936170212766,57.120000000000005
2024-02-13 00:45:00,יום ג,יום חול,21,234,40.11428452,8,22474,8_BENGURION--SHLOMO2MENDES-T,2024-02-13 00:45:00,1694269356171.0,238.0,15.4,15.0,55.63636363636364,57.120000000000005
2024-02-13 00:45:00,יום ג,יום חול,61,371,21.89508247,9,23372,9_MENDES--BENGURION2KATZIR-L,2024-02-13 00:45:00,1694270076033.0,373.0,60.13333333333333,60.13333333333333,22.33037694013304,22.33037694013304
2024-02-13 00:30:00,יום ג,יום חול,65,371,20.54769325,9,23371,9_MENDES--BENGURION2KATZIR-L,2024-02-13 00:30:00,1694270076033.0,373.0,58.73333333333333,58.73333333333333,22.86265607264472,22.86265607264472
2024-02-13 00:30:00,יום ג,יום חול,72,252,12.60000038,10,921,10_KATZIR--HOSPITAL2EMEKHAELA-T,2024-02-13 00:30:00,1694271601384.0,257.0,60.8,60.8,15.217105263157896,15.217105263157896
